"","Treatment","EWblock","Aspect","Block","Year","Number.of.bunches.per.vine","Weight.of.bunches.per.vine.kg","Weight.of.material.pruned.per.vine.kg"
"1","Herbicide","Block 1","South","Block 1, South",2001,48,4.26,1.35
"2","Herbicide","Block 1","North","Block 1, North",2001,40.56,4.13,0.93
"3","Herbicide","Block 2","South","Block 2, South",2001,37.67,4.62,0.82
"4","Herbicide","Block 2","North","Block 2, North",2001,21.78,2.56,0.47
"5","Herbicide","Block 3","South","Block 3, South",2001,16.33,1.89,0.43
"6","Herbicide","Block 3","North","Block 3, North",2001,17.78,2.18,0.53
"7","Compost","Block 1","South","Block 1, South",2001,40.89,5.03,1.25
"8","Compost","Block 1","North","Block 1, North",2001,36.33,4.87,0.85
"9","Compost","Block 2","South","Block 2, South",2001,33.67,5.03,1.18
"10","Compost","Block 2","North","Block 2, North",2001,33.11,4.17,0.86
"11","Compost","Block 3","South","Block 3, South",2001,22.56,2.34,0.63
"12","Compost","Block 3","North","Block 3, North",2001,19.56,2.14,0.63
"13","Straw","Block 1","South","Block 1, South",2001,48.44,6.32,1.49
"14","Straw","Block 1","North","Block 1, North",2001,46.11,5.3,0.99
"15","Straw","Block 2","South","Block 2, South",2001,34.89,4.09,0.69
"16","Straw","Block 2","North","Block 2, North",2001,34.89,4.32,0.57
"17","Straw","Block 3","South","Block 3, South",2001,34.78,4.15,0.52
"18","Straw","Block 3","North","Block 3, North",2001,26.89,3.16,0.45
"19","Herbicide","Block 1","South","Block 1, South",2002,38.78,1.48,1.6
"20","Herbicide","Block 1","North","Block 1, North",2002,33.67,0.88,1.16
"21","Herbicide","Block 2","South","Block 2, South",2002,31.89,1.59,1.42
"22","Herbicide","Block 2","North","Block 2, North",2002,27.89,0.89,0.93
"23","Herbicide","Block 3","South","Block 3, South",2002,31,1.03,0.67
"24","Herbicide","Block 3","North","Block 3, North",2002,29.33,0.81,0.86
"25","Compost","Block 1","South","Block 1, South",2002,44.22,1.67,1.43
"26","Compost","Block 1","North","Block 1, North",2002,39.89,1.34,1.14
"27","Compost","Block 2","South","Block 2, South",2002,37.33,1.5,1.4
"28","Compost","Block 2","North","Block 2, North",2002,36.33,1.6,1.31
"29","Compost","Block 3","South","Block 3, South",2002,36.56,1.55,0.85
"30","Compost","Block 3","North","Block 3, North",2002,36.67,1.37,0.92
"31","Straw","Block 1","South","Block 1, South",2002,44.22,1.85,2.11
"32","Straw","Block 1","North","Block 1, North",2002,38.89,1.39,1.32
"33","Straw","Block 2","South","Block 2, South",2002,35.44,1.61,1.31
"34","Straw","Block 2","North","Block 2, North",2002,36.56,1.55,1.16
"35","Straw","Block 3","South","Block 3, South",2002,33.78,1.59,0.91
"36","Straw","Block 3","North","Block 3, North",2002,34.56,1.31,0.89
"37","Herbicide","Block 1","South","Block 1, South",2003,12.33,0.94,0.57
"38","Herbicide","Block 1","North","Block 1, North",2003,13.67,1.3,0.88
"39","Herbicide","Block 2","South","Block 2, South",2003,19.22,1.94,1.48
"40","Herbicide","Block 2","North","Block 2, North",2003,11.44,1.27,0.78
"41","Herbicide","Block 3","South","Block 3, South",2003,12.56,1.12,0.66
"42","Herbicide","Block 3","North","Block 3, North",2003,12.89,1.27,0.78
"43","Compost","Block 1","South","Block 1, South",2003,16.22,1.3,0.85
"44","Compost","Block 1","North","Block 1, North",2003,14.33,1.38,0.96
"45","Compost","Block 2","South","Block 2, South",2003,14.11,1.2,0.74
"46","Compost","Block 2","North","Block 2, North",2003,19.11,1.83,1.23
"47","Compost","Block 3","South","Block 3, South",2003,16.67,1.37,0.97
"48","Compost","Block 3","North","Block 3, North",2003,15.56,1.47,1.02
"49","Straw","Block 1","South","Block 1, South",2003,12.78,0.98,0.52
"50","Straw","Block 1","North","Block 1, North",2003,12.44,1.21,0.72
"51","Straw","Block 2","South","Block 2, South",2003,16,1.28,0.71
"52","Straw","Block 2","North","Block 2, North",2003,15.89,1.22,0.76
"53","Straw","Block 3","South","Block 3, South",2003,19.44,1.34,0.88
"54","Straw","Block 3","North","Block 3, North",2003,16.67,1.17,0.57
